Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold3142.3,-0.896918243,19.41457394,0.970155562,0.343656245,0.717247555,-5.307279525,no difference,K01652,911045.PSE_0939,2.46E-257,721,"COG0028@1|root,COG0028@2|Bacteria,1MWUB@1224|Proteobacteria,2TTAQ@28211|Alphaproteobacteria",28211|Alphaproteobacteria,EH,Belongs to the TPP enzyme family,xsc,-,2.3.3.15,ko:K03852,"ko00430,map00430",-,R05651,"RC02903,RC02909","ko00000,ko00001,ko01000",-,-,-,"TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N",NA,NA,xsc
SymbC1.scaffold380.3,-1.522448507,20.69763694,0.87203208,0.396227582,0.755005416,-5.307846576,no difference,K23025,44056.XP_009039097.1,8.67E-260,740,"COG3808@1|root,2QPJC@2759|Eukaryota",2759|Eukaryota,C,hydrogen-translocating pyrophosphatase activity,AVP1,"GO:0000325,GO:0001101,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005768,GO:0005773,GO:0005774,GO:0005794,GO:0005886,GO:0006810,GO:0006811,GO:0006950,GO:0006970,GO:0007275,GO:0008150,GO:0009414,GO:0009415,GO:0009507,GO:0009526,GO:0009536,GO:0009628,GO:0009651,GO:0009678,GO:0009705,GO:0009914,GO:0009926,GO:0009941,GO:0010008,GO:0010035,GO:0010248,GO:0010817,GO:0012505,GO:0015399,GO:0015405,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0022804,GO:0022857,GO:0031090,GO:0031410,GO:0031967,GO:0031975,GO:0031982,GO:0032501,GO:0032502,GO:0034220,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044433,GO:0044434,GO:0044435,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0048366,GO:0048367,GO:0048731,GO:0048827,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0060918,GO:0065007,GO:0065008,GO:0071944,GO:0097708,GO:0098588,GO:0098805,GO:0099402,GO:1901700",3.6.1.1,ko:K01507,"ko00190,map00190",-,-,-,"ko00000,ko00001,ko01000",-,-,-,H_PPase,NA,NA,AVP1
SymbC1.scaffold1381.4,0.338140412,19.95232254,-0.205284949,0.842587791,0.955385267,-5.30916772,no difference,K03235,55529.EKX35614,1.54E-180,550,"COG0488@1|root,KOG1242@1|root,KOG0062@2759|Eukaryota,KOG1242@2759|Eukaryota",2759|Eukaryota,S,protein kinase regulator activity,TEF3,"GO:0000166,GO:0000302,GO:0002181,GO:0002182,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005840,GO:0005844,GO:0005886,GO:0006403,GO:0006405,GO:0006406,GO:0006412,GO:0006414,GO:0006415,GO:0006417,GO:0006446,GO:0006448,GO:0006518,GO:0006611,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006950,GO:0006979,GO:0007154,GO:0008104,GO:0008135,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009267,GO:0009268,GO:0009277,GO:0009605,GO:0009628,GO:0009636,GO:0009719,GO:0009889,GO:0009891,GO:0009893,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010243,GO:0010447,GO:0010467,GO:0010468,GO:0010494,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0014070,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0016973,GO:0017076,GO:0017111,GO:0019222,GO:0019538,GO:0022411,GO:0022613,GO:0022626,GO:0030312,GO:0030445,GO:0030554,GO:0030684,GO:0030687,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031503,GO:0031667,GO:0031668,GO:0031669,GO:0032056,GO:0032058,GO:0032268,GO:0032270,GO:0032553,GO:0032555,GO:0032559,GO:0032984,GO:0032991,GO:0033036,GO:0033554,GO:0034198,GO:0034248,GO:0034250,GO:0034599,GO:0034613,GO:0034614,GO:0034641,GO:0034645,GO:0035639,GO:0035690,GO:0035770,GO:0036094,GO:0036464,GO:0042221,GO:0042254,GO:0042274,GO:0042493,GO:0042542,GO:0042594,GO:0042886,GO:0043021,GO:0043022,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043555,GO:0043558,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044877,GO:0045184,GO:0045727,GO:0045948,GO:0046677,GO:0046907,GO:0048518,GO:0048522,GO:0050657,GO:0050658,GO:0050789,GO:0050794,GO:0050896,GO:0051028,GO:0051168,GO:0051169,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051236,GO:0051246,GO:0051247,GO:0051641,GO:0051649,GO:0051716,GO:0060255,GO:0060992,GO:0065007,GO:0070301,GO:0070727,GO:0070887,GO:0071166,GO:0071214,GO:0071236,GO:0071262,GO:0071264,GO:0071310,GO:0071407,GO:0071417,GO:0071426,GO:0071427,GO:0071467,GO:0071468,GO:0071495,GO:0071496,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0072755,GO:0080090,GO:0097159,GO:0097237,GO:0097367,GO:0104004,GO:1901265,GO:1901363,GO:1901561,GO:1901564,GO:1901566,GO:1901576,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1990451,GO:1990904,GO:1990928,GO:2000112",-,ko:K03235,-,-,-,-,"ko00000,ko03012",-,-,-,"ABC_tran,Chromo",NA,NA,TEF3 (2)
SymbC1.scaffold4616.3,-0.90546765,20.61106882,1.051153785,0.304687264,0.686279619,-5.309587994,no difference,K03462,400682.PAC_15723186,9.36E-141,419,"COG1488@1|root,2QSGN@2759|Eukaryota,39PT5@33154|Opisthokonta,3BEFU@33208|Metazoa",33208|Metazoa,H,nicotinamide phosphoribosyltransferase activity,NAMPT,"GO:0000003,GO:0003674,GO:0003824,GO:0005102,GO:0005125,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006355,GO:0006357,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007267,GO:0007565,GO:0007623,GO:0008144,GO:0008150,GO:0008152,GO:0008284,GO:0009058,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010033,GO:0010468,GO:0010469,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0014070,GO:0016604,GO:0016607,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019219,GO:0019222,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0022414,GO:0023051,GO:0023052,GO:0030054,GO:0030545,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032501,GO:0032922,GO:0034356,GO:0034641,GO:0034654,GO:0042127,GO:0042221,GO:0042802,GO:0042803,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044703,GO:0044706,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0046496,GO:0046983,GO:0047280,GO:0048018,GO:0048511,GO:0048518,GO:0048522,GO:0048583,GO:0048660,GO:0048661,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051186,GO:0051188,GO:0051252,GO:0051254,GO:0051704,GO:0051716,GO:0051769,GO:0051770,GO:0055086,GO:0060255,GO:0065007,GO:0065009,GO:0070013,GO:0071704,GO:0072524,GO:0072525,GO:0080090,GO:0090407,GO:0098772,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141",2.4.2.12,ko:K03462,"ko00760,ko01100,ko04621,map00760,map01100,map04621",-,R01271,RC00033,"ko00000,ko00001,ko01000",-,-,-,NAPRTase,NA,NA,NAMPT
SymbC1.scaffold240.6,-1.30847938,23.05709926,1.260419698,0.216143493,0.606909836,-5.310114459,no difference,,5811.TGME49_110120,1.38E-109,364,"2DFKP@1|root,2S5SI@2759|Eukaryota,3YBAB@5794|Apicomplexa,3YNKU@5796|Coccidia,3YR5K@5809|Sarcocystidae",5794|Apicomplexa,S,Mitochondrial ribosomal death-associated protein 3,-,-,-,ko:K17408,-,-,-,-,"br01610,ko00000,ko03011,ko03029",-,-,-,DAP3,NA,NA,SymbC1.scaffold240.6
SymbC1.scaffold738.3,-0.771911061,22.08717761,1.259385481,0.216512078,0.606909836,-5.31132527,no difference,,502025.Hoch_0783,5.77E-290,825,"COG0438@1|root,COG0535@1|root,COG0438@2|Bacteria,COG0535@2|Bacteria,1PEJK@1224|Proteobacteria,43A11@68525|delta/epsilon subdivisions,2X9V1@28221|Deltaproteobacteria,2YWWH@29|Myxococcales",28221|Deltaproteobacteria,M,Iron-sulfur cluster-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,"Radical_SAM,SPASM",NA,NA,SymbC1.scaffold738.3
SymbC1.scaffold4320.3,-0.518525196,18.40597628,0.441563919,0.667493885,0.894018035,-5.314645147,no difference,,227086.JGI_V11_125328,1.12E-87,284,"COG0654@1|root,KOG2614@2759|Eukaryota",2759|Eukaryota,CH,FAD binding,-,-,1.14.13.1,ko:K00480,"ko00621,ko00624,ko00626,ko01100,ko01120,ko01220,map00621,map00624,map00626,map01100,map01120,map01220",-,"R00818,R05632,R06915,R06936,R06939",RC00389,"ko00000,ko00001,ko01000",-,-,-,FAD_binding_3,NA,NA,SymbC1.scaffold4320.3
SymbC1.scaffold2229.1,0.869807459,22.28007124,-1.185978796,0.245314423,0.632394511,-5.315340001,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2229.1
SymbC1.scaffold2069.6,0.681567347,20.24035262,-0.518442186,0.612346385,0.868474594,-5.315440634,no difference,,44056.XP_009033977.1,3.84E-184,605,"COG1132@1|root,KOG0055@2759|Eukaryota",2759|Eukaryota,V,"ATPase activity, coupled to transmembrane movement of substances",-,-,3.6.3.44,ko:K05658,"ko02010,ko04976,ko05206,ko05226,map02010,map04976,map05206,map05226",-,-,-,"ko00000,ko00001,ko01000,ko02000,ko04090,ko04147",3.A.1.201,-,-,"ABC_membrane,ABC_tran",NA,NA,SymbC1.scaffold2069.6
SymbC1.scaffold335.3,-0.526943963,20.69822463,0.43623266,0.67209583,0.896183378,-5.31602619,no difference,,4155.Migut.J00551.1.p,5.99E-99,323,"COG0500@1|root,KOG1269@2759|Eukaryota,37S40@33090|Viridiplantae,3GDM0@35493|Streptophyta,44BZI@71274|asterids",35493|Streptophyta,H,Belongs to the class I-like SAM-binding methyltransferase superfamily. gTMT family,G-TMT,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006766,GO:0006775,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0009058,GO:0009110,GO:0009507,GO:0009536,GO:0009987,GO:0010189,GO:0016740,GO:0016741,GO:0018130,GO:0032259,GO:0042360,GO:0042362,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050342,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617",2.1.1.95,ko:K05928,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00112,"R07236,R07504,R10491,R10492","RC00003,RC01662","ko00000,ko00001,ko00002,ko01000",-,-,-,Methyltransf_11,NA,NA,G-TMT
SymbC1.scaffold6145.3,0.877108868,19.06863325,-0.906169334,0.377639773,0.742033459,-5.316288292,no difference,,5808.XP_002141552.1,2.82E-38,159,"COG2214@1|root,KOG0691@2759|Eukaryota",2759|Eukaryota,O,toxin transport,-,-,1.3.1.38,ko:K07512,"ko00062,ko01100,ko01212,map00062,map01100,map01212",M00085,"R01278,R03776,R03856,R03989,R04753,R06985,R07162",RC00052,"ko00000,ko00001,ko00002,ko01000",-,-,-,"DnaJ,Tmemb_185A",NA,NA,SymbC1.scaffold6145.3
SymbC1.scaffold2147.6,1.066759845,19.05768142,-0.841692206,0.411763295,0.763241591,-5.316859383,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2147.6
SymbC1.scaffold1100.8,-0.907196738,20.04252531,0.598004788,0.56111387,0.843384761,-5.318105806,no difference,,136037.KDR16622,1.51E-66,219,"COG1249@1|root,KOG1335@2759|Eukaryota,38CSR@33154|Opisthokonta,3BHTK@33208|Metazoa,3CS51@33213|Bilateria,41TJD@6656|Arthropoda,3SH38@50557|Insecta",33208|Metazoa,C,flavin adenine dinucleotide binding. It is involved in the biological process described with oxidation-reduction process,DLD,"GO:0000003,GO:0000166,GO:0001505,GO:0001669,GO:0003006,GO:0003674,GO:0003824,GO:0004148,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005759,GO:0005773,GO:0005929,GO:0005947,GO:0005960,GO:0006082,GO:0006084,GO:0006085,GO:0006086,GO:0006090,GO:0006091,GO:0006099,GO:0006101,GO:0006103,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006164,GO:0006464,GO:0006508,GO:0006520,GO:0006544,GO:0006546,GO:0006629,GO:0006631,GO:0006637,GO:0006725,GO:0006732,GO:0006733,GO:0006748,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007369,GO:0007568,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009060,GO:0009063,GO:0009069,GO:0009071,GO:0009106,GO:0009108,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009152,GO:0009161,GO:0009165,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009260,GO:0009653,GO:0009790,GO:0009987,GO:0012505,GO:0015980,GO:0016054,GO:0016310,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016999,GO:0017144,GO:0018130,GO:0018335,GO:0019362,GO:0019438,GO:0019538,GO:0019637,GO:0019693,GO:0019752,GO:0019953,GO:0021700,GO:0022412,GO:0022414,GO:0022900,GO:0022904,GO:0030062,GO:0030141,GO:0030154,GO:0031410,GO:0031974,GO:0031981,GO:0031982,GO:0032501,GO:0032502,GO:0032504,GO:0032787,GO:0032991,GO:0033218,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0035383,GO:0035384,GO:0036094,GO:0036211,GO:0042133,GO:0042135,GO:0042391,GO:0042737,GO:0042773,GO:0042775,GO:0042995,GO:0043159,GO:0043167,GO:0043168,GO:0043170,GO:0043209,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043436,GO:0043543,GO:0043544,GO:0043603,GO:0043604,GO:0043648,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044271,GO:0044272,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045239,GO:0045240,GO:0045252,GO:0045254,GO:0045333,GO:0046034,GO:0046390,GO:0046395,GO:0046483,GO:0046496,GO:0048037,GO:0048232,GO:0048240,GO:0048468,GO:0048469,GO:0048515,GO:0048598,GO:0048609,GO:0048856,GO:0048869,GO:0050660,GO:0050662,GO:0051068,GO:0051186,GO:0051188,GO:0051287,GO:0051704,GO:0055086,GO:0055114,GO:0061732,GO:0065007,GO:0065008,GO:0070013,GO:0071616,GO:0071704,GO:0072350,GO:0072521,GO:0072522,GO:0072524,GO:0090407,GO:0097159,GO:0097223,GO:0097708,GO:0098798,GO:0099503,GO:0106077,GO:0120025,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901681,GO:1902494,GO:1990204,GO:1990234",1.8.1.4,ko:K00382,"ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00036,M00307,M00532","R00209,R01221,R01698,R03815,R07618,R08549","RC00004,RC00022,RC00583,RC02742,RC02833,RC02834","br01601,ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Pyr_redox_2,Pyr_redox_dim",NA,NA,DLD
SymbC1.scaffold6278.3,0.876442286,19.53436801,-1.007721435,0.324151654,0.702910631,-5.31850917,no difference,,35128.Thaps25100,1.19E-34,135,"2BYKU@1|root,2T4Y2@2759|Eukaryota,2XF2M@2836|Bacillariophyta",2836|Bacillariophyta,S,PAP_fibrillin,-,-,-,-,-,-,-,-,-,-,-,-,PAP_fibrillin,NA,NA,SymbC1.scaffold6278.3
SymbC1.scaffold523.11;SymbC1.scaffold523.7,-0.538952538,21.64262463,0.326925488,0.749957527,0.922960121,-5.318840546,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold523.11
SymbC1.scaffold5564.2,0.72047519,18.97839475,-0.816404977,0.427191405,0.771003054,-5.320685204,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold5564.2
SymbC1.scaffold713.1,-1.066720342,23.76057176,1.250678834,0.219633799,0.610800399,-5.321482884,no difference,K00855,2903.EOD14779,4.25E-95,296,"COG0572@1|root,KOG4203@2759|Eukaryota",2759|Eukaryota,F,UMP salvage,PRK,"GO:0003674,GO:0003824,GO:0004849,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006213,GO:0006220,GO:0006221,GO:0006222,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0008655,GO:0008974,GO:0009058,GO:0009112,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009173,GO:0009174,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009266,GO:0009409,GO:0009507,GO:0009526,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009570,GO:0009579,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009719,GO:0009725,GO:0009735,GO:0009941,GO:0009987,GO:0010033,GO:0010319,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018130,GO:0019205,GO:0019206,GO:0019438,GO:0019637,GO:0019693,GO:0019899,GO:0019904,GO:0031967,GO:0031975,GO:0031976,GO:0031984,GO:0034357,GO:0034404,GO:0034641,GO:0034654,GO:0042221,GO:0042455,GO:0042651,GO:0042742,GO:0042802,GO:0042803,GO:0043094,GO:0043097,GO:0043174,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0046049,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0046983,GO:0048046,GO:0050896,GO:0051704,GO:0051707,GO:0055035,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:0097718,GO:0098542,GO:0099080,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",2.7.1.19,ko:K00855,"ko00710,ko01100,ko01120,ko01200,map00710,map01100,map01120,map01200","M00165,M00166",R01523,"RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,PRK,NA,NA,PRK
SymbC1.scaffold10035.1,0.982318797,19.28171689,-0.960072521,0.35061231,0.722734035,-5.32178631,no difference,K12823,4577.GRMZM2G066440_P01,8.91E-117,367,"COG0513@1|root,KOG0331@2759|Eukaryota,37JKF@33090|Viridiplantae,3G7NV@35493|Streptophyta,3KVKV@4447|Liliopsida,3IETE@38820|Poales",35493|Streptophyta,A,Belongs to the DEAD box helicase family,-,"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0006139,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006970,GO:0006972,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009628,GO:0009651,GO:0009987,GO:0010501,GO:0016070,GO:0016301,GO:0016310,GO:0016462,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019538,GO:0031974,GO:0031981,GO:0034641,GO:0036211,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0046777,GO:0050896,GO:0070013,GO:0070035,GO:0071704,GO:0090304,GO:0140096,GO:0140098,GO:1901360,GO:1901564",3.6.4.13,ko:K12823,"ko03040,ko05202,ko05205,map03040,map05202,map05205",-,-,-,"ko00000,ko00001,ko01000,ko03009,ko03041",-,-,-,"DEAD,Helicase_C,WW",NA,NA,SymbC1.scaffold10035.1
SymbC1.scaffold660.2,-0.930377719,19.38699889,1.045131935,0.307399234,0.689662198,-5.322964088,no difference,,159749.K0S720,1.29E-07,58.9,"2CEZZ@1|root,2SB70@2759|Eukaryota,2XCUV@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold660.2
SymbC1.scaffold251.4,0.539986739,19.56012736,-0.337022645,0.740527693,0.918627866,-5.324105638,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold251.4
SymbC1.scaffold1719.3,1.019912465,20.04722959,-0.636902863,0.534591617,0.83078427,-5.324598864,no difference,,1385518.N798_03325,1.11E-10,68.6,"COG1278@1|root,COG1278@2|Bacteria,2IABV@201174|Actinobacteria,4FF0V@85021|Intrasporangiaceae",201174|Actinobacteria,K,Cold shock protein domain,-,-,-,ko:K03704,-,-,-,-,"ko00000,ko03000",-,-,-,CSD,NA,NA,SymbC1.scaffold1719.3
SymbC1.scaffold513.6,0.81474621,20.1153947,-0.892430043,0.385530689,0.748449734,-5.326619535,no difference,,2903.EOD41732,1.56E-76,252,"COG0656@1|root,KOG1577@2759|Eukaryota",2759|Eukaryota,J,oxidoreductase activity,-,-,-,-,-,-,-,-,-,-,-,-,Aldo_ket_red,NA,NA,SymbC1.scaffold513.6
SymbC1.scaffold950.9,0.15644174,19.64877431,-0.127281253,0.901570173,0.975423773,-5.328049474,no difference,,1136417.AZWE01000099_gene1846,6.44E-05,53.5,"COG0236@1|root,COG0236@2|Bacteria",2|Bacteria,IQ,Carrier of the growing fatty acid chain in fatty acid biosynthesis,pfaA,-,-,ko:K04791,"ko01053,map01053",-,-,-,"ko00000,ko00001,ko01004,ko01008",-,-,-,"Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt",NA,NA,pfaA
SymbC1.scaffold495.2,-0.584180548,20.11324422,0.400745867,0.697181577,0.903889794,-5.328834357,no difference,,4565.Traes_3B_E6DD13EA0.2,8.83E-99,328,"COG0513@1|root,KOG0331@2759|Eukaryota,37JKF@33090|Viridiplantae,3G7NV@35493|Streptophyta,3KVKV@4447|Liliopsida,3IETE@38820|Poales",35493|Streptophyta,A,Belongs to the DEAD box helicase family,-,"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0006139,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006970,GO:0006972,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009628,GO:0009651,GO:0009987,GO:0010501,GO:0016070,GO:0016301,GO:0016310,GO:0016462,GO:0016740,GO:0016772,GO:0016773,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019538,GO:0031974,GO:0031981,GO:0034641,GO:0036211,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0046777,GO:0050896,GO:0070013,GO:0070035,GO:0071704,GO:0090304,GO:0140096,GO:0140098,GO:1901360,GO:1901564",3.6.4.13,ko:K12823,"ko03040,ko05202,ko05205,map03040,map05202,map05205",-,-,-,"ko00000,ko00001,ko01000,ko03009,ko03041",-,-,-,"DEAD,Helicase_C,WW",NA,NA,SymbC1.scaffold495.2
SymbC1.scaffold163.8,-0.818890606,18.0560495,0.62614559,0.543115313,0.83512929,-5.329001932,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold163.8
SymbC1.scaffold4628.2,-0.753793189,19.48296494,0.341336377,0.740036455,0.918514501,-5.331430069,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold4628.2
